Question ID,Section,Question,Format,Options
Q1,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Préférez-vous travailler en équipe ou de manière indépendante ?,Single choice,Forte préférence pour le travail d'équipe; Préférence pour le travail d'équipe; Neutre; Préférence pour l'indépendance; Forte préférence pour l'indépendance
Q2,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Comment abordez-vous la résolution de problèmes complexes ?,Single choice,Raisonnement logique; Solutions créatives; Un mélange des deux; J'évite les problèmes
Q3,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Êtes-vous plus intéressé par les idées abstraites ou les applications pratiques ?,Single choice,Idées abstraites; Applications pratiques; Les deux également; Ni l'un ni l'autre
Q4,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Quelle importance accordez-vous à l'expression émotionnelle dans votre vie quotidienne ?,Single choice,Très importante; Importante; Neutre; Peu importante; Pas du tout importante
Q5,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Aimez-vous prendre des risques ou préférez-vous une approche plus prudente ?,Single choice,Forte préférence pour les risques; Préférence pour les risques; Neutre; Préférence pour la prudence; Forte préférence pour la prudence
Q6,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Comment vous sentez-vous par rapport au travail avec les chiffres et les données ?,Single choice,J'adore ça; J'aime bien; Neutre; Je n'aime pas; Je déteste
Q7,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Êtes-vous plus attiré par les tâches créatives ou techniques ?,Single choice,Forte préférence pour les tâches créatives; Préférence pour les tâches créatives; Neutre; Préférence pour les tâches techniques; Forte préférence pour les tâches techniques
Q8,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Comment gérez-vous les délais et la gestion du temps ?,Single choice,Très bien; Bien; Neutre; Mal; Très mal
Q9,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Quelle importance accordez-vous à l'aide aux autres ?,Single choice,Très importante; Importante; Neutre; Peu importante; Pas du tout importante
Q10,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Aimez-vous explorer de nouvelles cultures et perspectives ?,Single choice,J'adore ça; J'aime bien; Neutre; Je n'aime pas; Je déteste
Q11,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Quelle importance accordez-vous à l'attention aux détails dans votre travail ?,Single choice,Très importante; Importante; Neutre; Peu importante; Pas du tout importante
Q12,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Aimez-vous apprendre de nouvelles choses ?,Single choice,J'adore ça; J'aime bien; Neutre; Je n'aime pas; Je déteste
Q13,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Comment gérez-vous les rôles de leadership ?,Single choice,Très bien; Bien; Neutre; Mal; Très mal
Q14,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Êtes-vous passionné par la durabilité et les questions environnementales ?,Single choice,Très passionné; Passionné; Neutre; Peu passionné; Pas du tout passionné
Q15,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Comment vous sentez-vous par rapport au fitness et aux activités de plein air ?,Single choice,J'adore ça; J'aime bien; Neutre; Je n'aime pas; Je déteste
Q16,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Comment abordez-vous la résolution pratique de problèmes ?,Single choice,Très bien; Bien; Neutre; Mal; Très mal
Q17,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Quelle importance accordez-vous à l'expression créative ?,Single choice,Très importante; Importante; Neutre; Peu importante; Pas du tout importante
Q18,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Comment gérez-vous les conflits ou les désaccords ?,Single choice,Très bien; Bien; Neutre; Mal; Très mal
Q19,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Quelle importance accordez-vous au suivi d'un plan structuré ?,Single choice,Très importante; Importante; Neutre; Peu importante; Pas du tout importante
Q20,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Comment vous sentez-vous par rapport à la prise de parole en public ou à la présentation d'idées ?,Single choice,J'adore ça; J'aime bien; Neutre; Je n'aime pas; Je déteste
Q21,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Quelle importance accordez-vous au fait de rester à jour avec la technologie ?,Single choice,Très importante; Importante; Neutre; Peu importante; Pas du tout importante
Q22,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Comment vous sentez-vous dans un environnement à rythme rapide ?,Single choice,J'adore ça; J'aime bien; Neutre; Je n'aime pas; Je déteste
Q23,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Quelle importance accordez-vous au fait d'avoir un parcours professionnel clair ?,Single choice,Très importante; Importante; Neutre; Peu importante; Pas du tout importante
Q24,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Comment vous sentez-vous en travaillant sur plusieurs projets à la fois ?,Single choice,J'adore ça; J'aime bien; Neutre; Je n'aime pas; Je déteste
Q25,QUESTIONNAIRE DU PROFIL PSYCHO-SOCIAL,Quelle importance accordez-vous au fait d'avoir un impact positif sur la société ?,Single choice,Très importante; Importante; Neutre; Peu importante; Pas du tout importante
Q26,Passions & Intérêts,Qu'aimez-vous faire pendant votre temps libre ?,Multiple selection,"Lire des livres; Coder ou programmer; Peindre, dessiner ou autres arts visuels; Jouer de la musique ou composer; Écrire (histoires, poésie, blogs, etc.); Faire du sport ou des activités de plein air; Faire du bénévolat ou du service communautaire; Bricoler avec des gadgets ou de l'électronique; Regarder des documentaires ou des vidéos éducatives; Jouer aux jeux vidéo; Designer (graphique, mode, intérieur, etc.); Voyager ou explorer de nouvelles cultures; Participer à des débats ou parler en public; Jardiner ou activités liées à la nature; Cuisiner ou faire de la pâtisserie; Apprendre de nouvelles compétences ou langues"
Q27,Passions & Intérêts,Classez ces domaines académiques par ordre d'intérêt.,Drag-and-drop ranking,"Mathématiques; Physique-Chimie; Biologie/Sciences de la Terre; Littérature/Philosophie; Histoire/Géographie; Économie/Sciences Sociales; Langues Étrangères; Informatique; Arts (Visuels, Musique, Théâtre); Sciences de l'Ingénieur"
Q28,Passions & Intérêts,Choisissez tous les secteurs/industries dans lesquels vous êtes sûr de NE PAS vouloir travailler.,Multiple selection,Technologie-IT; Santé-Médecine; Éducation-Enseignement; Finance-Banque; Arts-Divertissement; Ingénierie-Industrie; Environnement-Développement durable; Droit-Justice; Business-Management; Science-Recherche; Travail social-ONG; Hôtellerie-Tourisme; Agriculture-Industrie alimentaire; Médias-Journalisme
Q29,Passions & Intérêts,Quel type d'environnement de travail préférez-vous ? (Sélectionnez-en un),Single choice,"Structuré et organisé (ex: bureau d'entreprise, laboratoire); Créatif et flexible (ex: studio de design, startup); Extérieur ou pratique (ex: travail de terrain, construction); Social et collaboratif (ex: ONG, éducation); Indépendant et autonome (ex: freelance, recherche)"
Q30,Passions & Intérêts,Qu'est-ce qui vous motive le plus dans votre travail ou vos études ? (Sélectionnez 2 choix maximum),Multiple selection,Résoudre des problèmes complexes; Aider les autres ou avoir un impact social; Créer quelque chose de nouveau ou d'innovant; L'apprentissage et le développement personnel; Atteindre le succès financier ou la reconnaissance; Explorer de nouvelles idées ou concepts
Q31,Passions & Intérêts,Comment préférez-vous apprendre ? (Sélectionnez-en un),Single choice,Par la pratique et l'expérimentation; Par la lecture et la recherche indépendante; En groupe de manière collaborative; Par des projets créatifs et l'expression personnelle; En suivant des leçons et des directives structurées
Q32,Passions & Intérêts,Quel est votre objectif professionnel à long terme ? (Sélectionnez-en un),Single choice,Je veux avoir un impact positif sur l'environnement; Je veux créer des technologies innovantes; Je veux aider les gens via la santé ou le travail social; Je veux m'exprimer à travers l'art ou l'écriture; Je veux diriger et gérer des équipes en entreprise; Je veux explorer de nouvelles idées par la recherche; Je veux atteindre le succès financier et la reconnaissance
Q33,Projet d'Études,Quel est votre budget pour les études (par an) ?,Single choice,Moins de 5 000€; 5 000€ - 10 000€; 10 000€ - 15 000€; 15 000€ - 20 000€; Plus de 20 000€
Q34,Projet d'Études,Combien de temps êtes-vous prêt à consacrer à vos études ?,Single choice,1 an ou moins; 1-3 ans; 3-5 ans; Plus de 5 ans
Q35,Projet d'Études,Où préféreriez-vous étudier ? (Sélectionnez jusqu'à 3 villes),Multiple selection,Paris; Marseille; Lyon; Toulouse; Nice; Nantes; Strasbourg; Montpellier; Bordeaux; Lille; Rennes; Reims; Le Havre; Saint-Étienne; Toulon; Angers; Grenoble; Dijon; Nîmes; Aix-en-Provence; Saint-Denis (Réunion); Fort-de-France (Martinique); Pointe-à-Pitre (Guadeloupe); Cayenne (Guyane); Saint-Pierre (Saint-Pierre-et-Miquelon)
Q36,Projet d'Études,"Êtes-vous intéressé par les opportunités de mobilité (ex: études à l'étranger, stages) ?",Single choice,"Oui, très intéressé; Plutôt intéressé; Neutre; Peu intéressé; Pas du tout intéressé"
Q37,Projet d'Études,Quels sont vos principaux critères pour choisir une école ? (Sélectionnez jusqu'à 3 critères),Multiple selection,Réputation académique; Coût des études; Localisation; Services d'accompagnement professionnel; Réseau d'anciens élèves; Flexibilité du programme; Opportunités de recherche
